"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gpal_D383_g01857",228.774605637049,-0.778208681135803,0.206593075105577,-3.76686721342479,0.000165308866857858,0.0059597547447038
"Gpal_D383_g01896",77.5324379029984,2.66189548379393,0.616993361333302,4.3143016612718,1.60108200990548e-05,0.0010047141188928
"Gpal_D383_g01920",601.529998018117,-0.574744725509533,0.145994251630211,-3.936762708749,8.25881992811631e-05,0.00366039991492935
"Gpal_D383_g01926",512.329297288616,-0.505910159155059,0.138693525277417,-3.64768404396046,0.000264614757355214,0.00846591981975522
"Gpal_D383_g02006",1505.27912189048,0.737834956721899,0.168987463303841,4.36621121056338,1.26420241575841e-05,0.000848244704240122
"Gpal_D383_g02074",52.3292100157293,2.1118867674097,0.624716838994211,3.38055041194315,0.00072340803417992,0.0184909217625566
"Gpal_D383_g02217",1923.14166925042,1.2915259432985,0.156055809201836,8.27605168884225,1.27326744540152e-16,2.10050035920214e-13
"Gpal_D383_g02251",108.881344410651,4.19832261060111,1.1601016160041,3.61892661184454,0.000295827509379565,0.00922027546975922
"Gpal_D383_g02338",431.600094300015,-0.531484346343619,0.161218999133246,-3.29666074842924,0.000978416064090474,0.023170235321672
"Gpal_D383_g02394",194.424704534822,-0.677254359749916,0.213855811472468,-3.16687376923169,0.00154087188109265,0.0315421697354179
"Gpal_D383_g02430",67.3124779643245,2.27097775535344,0.486490659793841,4.66808089659071,3.04026198367436e-06,0.000253679663647515
"Gpal_D383_g02477",50.6276512504216,2.21611170179896,0.673678746120354,3.28956748978844,0.00100341489624012,0.0235468173304754
"Gpal_D383_g02563",468.035747352639,0.789107400102878,0.166674511864196,4.73442154578399,2.19680723796013e-06,0.000196532884566396
"Gpal_D383_g02574",35.3484469646598,2.03692560625762,0.645111898989782,3.15747641525038,0.00159141109465947,0.032212974528972
"Gpal_D383_g02575",139.568291560647,1.00714829548093,0.272530840748717,3.69553879742203,0.000219420968954406,0.00731050138633612
"Gpal_D383_g02602",460.215288996476,0.918586446488329,0.184666446652864,4.97430076301347,6.54835736765462e-07,7.03002543180877e-05
"Gpal_D383_g02775",480.33497820851,-0.591185866953921,0.15547731700885,-3.80239303280665,0.000143305145905807,0.00536672216954228
"Gpal_D383_g02844",276.667487050208,-0.613097509623794,0.192680950901736,-3.18193109777864,0.00146296618387481,0.0309982001504351
"Gpal_D383_g03182",24.1109706831403,2.27241188425509,0.641510936972916,3.54228081438154,0.000396682936568345,0.0117569034758385
"Gpal_D383_g03282",1880.20976152226,-0.341722920492702,0.109278710045946,-3.12707681440442,0.0017655379170358,0.0343923938596772
"Gpal_D383_g03290",487.866678910074,-0.723669806183035,0.136371416832142,-5.30660913403716,1.11683305419429e-07,1.54154870994646e-05
"Gpal_D383_g03333",829.195975911989,-0.52650586066656,0.131749449987621,-3.99626609990423,6.43493994488923e-05,0.00307794008651088
"Gpal_D383_g03342",31.1629004365944,-1.74653598070529,0.558038979739559,-3.12977416294541,0.00174940740171303,0.0342800189927678
"Gpal_D383_g03370",599.576192017353,-0.661888844154771,0.151025311336503,-4.38263519073302,1.17252360891754e-05,0.00079781148657474
"Gpal_D383_g03442",11.1978428989334,4.23785241711205,1.36987077771109,3.09361473072158,0.00197734081562609,0.0371440785383904
"Gpal_D383_g03526",268.367554593895,-0.695975325687193,0.195712289630108,-3.55611457513768,0.000376379984592127,0.0112937373016433
"Gpal_D383_g03578",261.777167585336,6.24400949307406,1.52938289495053,4.08269865819053,4.45157300756733e-05,0.00226374202100608
"Gpal_D383_g03644",605.042339898896,0.57059277855079,0.175882922948443,3.24416247459141,0.00117796533097553,0.0262246567462802
"Gpal_D383_g03651",1735.890474592,-0.533938339569085,0.106202986754058,-5.02752658741662,4.96846617576365e-07,5.58201397560795e-05
"Gpal_D383_g03673",108.389843830028,0.938430429233886,0.311034748893844,3.01712407559379,0.00255185337885542,0.0450504207996462
"Gpal_D383_g03798",331.234766620348,-0.747059689711239,0.179026284001027,-4.17290507860262,3.00740256869085e-05,0.00166997262176385
"Gpal_D383_g03815",290.829622065873,-0.725747626684159,0.209621705885515,-3.46217784851214,0.000535822953644533,0.0148767855692916
"Gpal_D383_g03850",672.666377919034,-0.560378321515097,0.148354826190836,-3.77728406890017,0.000158547861321108,0.00575898284242312
"Gpal_D383_g03923",418.027988137502,-0.564656850522373,0.164890506375319,-3.42443517783321,0.000616078799144859,0.0165337456707667
"Gpal_D383_g03961",591.660419202349,-0.502217864500736,0.146316453383016,-3.43240867919392,0.000598245317747436,0.0162366467979655
"Gpal_D383_g03992",3994.84464830627,-0.536247339068029,0.0906265657587787,-5.91710978539518,3.27648005171493e-09,6.59528130409784e-07
"Gpal_D383_g04132",476.927662616959,-0.759467905370911,0.147644669923573,-5.14388975751066,2.69107488718244e-07,3.33348276409702e-05
"Gpal_D383_g04326",641.705708126514,0.773340011632944,0.199590094990259,3.87464123242533,0.000106781899890805,0.00444709791700414
"Gpal_D383_g04552",1689.6006793122,-0.442162641650652,0.10990106954118,-4.0232787860629,5.73934913038524e-05,0.00277267956488911
"Gpal_D383_g04772",1021.2464443315,0.619699259721306,0.161386645932943,3.83984223811675,0.000123113397774297,0.00484967968148862
"Gpal_D383_g04811",92.8967548158263,1.97613436315415,0.577993551685897,3.41895572604598,0.000628619538539781,0.0166860493993719
"Gpal_D383_g04929",184.22127697272,0.852473611056429,0.261372589086715,3.26152644405112,0.00110814096119338,0.0250160232875011
"Gpal_D383_g05030",660.973027753412,-0.602850950001458,0.15216584056921,-3.96180212159549,7.43861789140609e-05,0.00339018519182857
"Gpal_D383_g05063",1137.89537558349,-0.535440162133822,0.135915742217725,-3.93950070387058,8.16513625560028e-05,0.00365238641211157
