Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
T05H10.4,173.6540181,0.042713469,0.260704779,0.007778629,0.452583911
T27B7.4,104.3516651,0.040336295,0.249153443,0.007787797,0.452583911
C09F12.2,91.26259051,-0.083908587,0.452859657,0.007832104,0.453005393
Y71A12B.8,245.4529918,-0.052634167,0.30874823,0.007846485,0.453005393
C07A9.6,298.7647451,0.042266804,0.261180878,0.008113048,0.45554268
C16H3.2,3820.759895,0.078603842,0.432718745,0.00810995,0.45554268
C17B7.8,53.47577867,0.062245516,0.355132801,0.007981429,0.45554268
C36B7.7,184.4460544,-0.066864339,0.377305891,0.008041938,0.45554268
F10C2.7,127.4319917,-0.079415494,0.43380401,0.007934767,0.45554268
H43E16.1,1094.491378,0.056743717,0.330797377,0.008112017,0.45554268
K09E10.1,203.1792372,0.074124466,0.410248023,0.007992987,0.45554268
R07E5.8,813.20919,0.039807416,0.247915399,0.007968411,0.45554268
ZC513.1,69.48661598,-0.0767616,0.423565621,0.008070291,0.45554268
C02D4.1,108.3028501,-0.10270872,0.551862569,0.008273737,0.459490529
C56A3.1,715.1174683,-0.089495114,0.485837926,0.008221326,0.459490529
F11D11.4,8.737905883,0.1198393,0.648986188,0.008283154,0.459490529
F55G1.11,382.523443,-0.097983964,0.528055849,0.008270714,0.459490529
K01D12.14,60.04138377,0.080559552,0.445353081,0.00833621,0.461045001
T16G1.6,145.8991926,0.068033769,0.387141646,0.008393914,0.462846457
C49C3.9,427.0954391,0.065136288,0.374792466,0.008505805,0.465990541
T05E7.1,410.4570816,0.076598791,0.429418447,0.00852684,0.465990541
T28B8.1,1845.233987,-0.047214711,0.288850054,0.008526731,0.465990541
R08E5.3,869.8774909,0.053022651,0.317571254,0.008575064,0.467239486
C07A4.2,176.2022141,0.059368087,0.349736603,0.008732402,0.468762121
F01D5.6,721.8470212,-0.086581802,0.481169178,0.008754613,0.468762121
F53F4.4,253.6749236,-0.061050245,0.357447702,0.008697032,0.468762121
K07D8.1,10103.27103,-0.070874348,0.404911197,0.008733519,0.468762121
T08A9.12,657.0541401,-0.070235405,0.402133228,0.008755724,0.468762121
W10G11.11,287.186124,0.083830525,0.959935041,0.008645604,0.468762121
C31A11.5,94.99765102,0.103090846,0.571403102,0.008972864,0.474450387
F16H6.2,17.69264389,0.044452911,0.278589757,0.008958744,0.474450387
R10H1.4,1501.063125,-0.101830487,0.563147788,0.008923655,0.474450387
W03G11.1,12283.81089,-0.093974097,0.522820569,0.008990779,0.474450387
W07B8.4,216.5373849,-0.090926816,0.505439958,0.008899783,0.474450387
T18H9.2,14471.1888,0.07178556,0.413868595,0.009089079,0.478267356
C31B8.7,111.6492169,0.03090623,0.209287564,0.009117908,0.478417421
T10E10.1,25470.63978,-0.088130998,0.496368994,0.009180751,0.480346273
F56D5.5,49.23337271,0.031273209,0.211879947,0.009228947,0.481329666
Y71H10A.2,643.9815571,0.049390492,0.305661356,0.009251816,0.481329666
K10D11.2,12.41907147,0.114225491,0.671017253,0.009463192,0.490939715
F07G11.4,69.67513781,-0.091141783,0.518592104,0.00953198,0.493119309
F29B9.9,1295.326776,-0.079482221,0.460051065,0.009663718,0.495878769
F52G2.3,292.9021639,0.030267919,0.208617274,0.009646175,0.495878769
ZC513.8,12060.39885,-0.105099105,0.603880751,0.009666095,0.495878769
C34B7.3,418.352665,0.03974725,0.260408359,0.009808654,0.496280156
C45G7.3,1473.875644,-0.087188543,0.502288141,0.009794281,0.496280156
T07C12.9,2245.896527,-0.057829202,0.35283062,0.009806849,0.496280156
T25F10.1,3226.651676,-0.070571461,0.415596025,0.009706449,0.496280156
ZK355.5,32.09750436,-0.065186061,0.389105579,0.00974824,0.496280156
F36G9.12,93.93888963,0.099260637,0.575378708,0.009985582,0.503847828
F08G5.6,2374.812978,0.08033368,0.471367209,0.010129148,0.509695429
