Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
F40G12.4,162.5834436,5.35277526,0.770158896,1.5114E-13,2.12597E-11
F16B4.5,3068.621213,6.219062052,0.914097669,1.61186E-13,2.25175E-11
F20E11.18,78.72550095,5.369700771,0.774345338,1.65652E-13,2.2984E-11
K09C8.3,1484.434312,6.865428368,1.026588285,1.81809E-13,2.50553E-11
C49G7.4,874.4990772,-5.568471633,0.809655967,1.97405E-13,2.7022E-11
F27D9.5,7381.051121,-2.478061995,0.357475292,2.31135E-13,3.14282E-11
K07E8.3,1721.80769,-6.297108114,0.93836371,2.80099E-13,3.78337E-11
F55B12.10,766.895099,5.964404037,0.883621151,3.07189E-13,4.09583E-11
K08D8.3,271.7969977,-6.270396212,0.935694542,3.07248E-13,4.09583E-11
F15H10.2,14674.65867,-6.460882874,0.97013059,3.32702E-13,4.40636E-11
Y66H1B.4,1717.663619,-1.957772698,0.288062949,3.40189E-13,4.47645E-11
T09B4.8,2176.168021,-4.923830512,0.713867295,3.52524E-13,4.60902E-11
Y46C8AL.5,474.4602498,-5.615502798,0.833433383,4.92026E-13,6.39195E-11
R05D8.7,438.9381785,4.804223979,0.700085371,5.11603E-13,6.60422E-11
H39E23.2,162.9689115,5.244248654,0.772213258,5.17315E-13,6.63595E-11
ZK1037.4,308.2196426,6.549940595,0.998546279,5.93781E-13,7.56922E-11
F49F1.5,213.7938199,-6.485158565,0.989617493,6.62526E-13,8.3931E-11
F56A4.9,378.9672587,5.402438471,0.803192304,6.76542E-13,8.51775E-11
R12E2.15,7428.721851,-8.069192464,1.27977097,6.8403E-13,8.55918E-11
C25H3.1,293.4563502,4.886358559,0.717950983,6.92475E-13,8.57271E-11
T23F11.11,138.5534984,5.779394161,0.867723374,6.93517E-13,8.57271E-11
Y53F4B.29,981.4796667,-5.017256106,0.740303983,7.3201E-13,8.99402E-11
C30F12.3,975.4607003,5.837212864,0.879426786,7.59063E-13,9.27057E-11
F47F6.3,126.5024315,-7.414589524,1.166943743,9.49116E-13,1.15227E-10
4R79.1,76.47097425,-5.749553642,0.869346346,9.82549E-13,1.1858E-10
C23H5.8,1430.804908,-5.113223446,0.762539494,1.0758E-12,1.29071E-10
K01A2.7,71.03021905,-4.34935644,0.637924563,1.08624E-12,1.29561E-10
ZK1290.12,1226.085417,-6.362180717,0.980638238,1.16286E-12,1.37893E-10
K10B2.2,544.1116269,-3.749299556,0.546480996,1.1973E-12,1.41156E-10
C23H4.3,184.3566728,-4.643717109,0.687180292,1.24271E-12,1.44836E-10
Y60C6A.1,5243.005332,5.35199166,0.805327664,1.23607E-12,1.44836E-10
ZC374.2,202.181199,-4.064512059,0.595634598,1.30665E-12,1.51423E-10
F08A8.3,400.2751091,-5.343596693,0.805561059,1.356E-12,1.55376E-10
F41C3.7,405.4167088,4.997412699,0.746936396,1.35234E-12,1.55376E-10
F54B8.3,1108.036135,5.710611595,0.869826063,1.4188E-12,1.61664E-10
T16A1.4,311.2936753,6.629685879,1.034099142,1.44965E-12,1.64261E-10
K10G4.15,233.5279158,9.58941215,1.615829238,1.60983E-12,1.81404E-10
C01B12.1,6630.365289,-7.114821038,1.127201286,1.6721E-12,1.87385E-10
F54D5.15,258.5179239,-3.521685068,0.517752332,1.86192E-12,2.07518E-10
T05B4.3,1451.084693,-6.779561519,1.068642661,1.91381E-12,2.12141E-10
C06H5.14,1099.091792,8.137615224,1.331414332,2.13035E-12,2.34868E-10
F32A11.7,338.2399903,-4.96514916,0.751736507,2.49379E-12,2.73459E-10
ZK666.12,104.0509078,5.546615577,0.853892829,2.70346E-12,2.94865E-10
B0334.2,721.4919568,3.665250824,0.54389818,2.8085E-12,3.04692E-10
R13D11.10,3882.361973,7.956190875,1.306327482,2.89882E-12,3.12827E-10
C29F3.5,176.8363363,-6.544072055,1.037734622,3.11859E-12,3.34772E-10
T01B6.3,2013.869018,3.630979527,0.540744787,3.32226E-12,3.54769E-10
M03D4.4,200.8014997,-4.096033115,0.61347253,3.46786E-12,3.68388E-10
Y41G9A.10,1912.426727,4.838106882,0.73601445,3.52461E-12,3.72477E-10
T22H6.2,2258.20897,-4.80195067,0.73115633,3.80409E-12,3.9994E-10
F08H9.6,414.525093,-4.981588195,0.762086643,3.8561E-12,4.03328E-10
H04M03.12,844.4318927,2.987769906,0.449896493,3.98939E-12,4.1514E-10
C14A6.1,1072.388516,-4.984921581,0.763545712,4.05454E-12,4.19778E-10
ZK1025.4,75.80711561,-7.226856098,1.176054079,4.26883E-12,4.39733E-10
K10G4.16,233.5310656,8.634390658,1.461252888,4.47167E-12,4.58312E-10
C29F3.2,174.2934428,-6.299740522,1.001786245,4.52424E-12,4.61382E-10
C08E8.10,1356.135062,5.730942491,0.898774853,4.79703E-12,4.86767E-10
R12E2.14,3687.740743,-7.494751858,1.232391027,4.82908E-12,4.87594E-10
Y75B8A.20,1230.39299,-6.046115892,0.957362414,5.01584E-12,5.03956E-10
C54C8.2,35.68652347,-6.895671558,1.117686742,5.1287E-12,5.1277E-10
Y53F4B.30,1592.14996,-4.815444751,0.73896116,5.26125E-12,5.23456E-10
B0035.13,1853.197247,-4.840591104,0.743569376,5.35119E-12,5.2982E-10
F16D3.6,177.6057375,4.267901145,0.648288746,5.67862E-12,5.59522E-10
ZK377.1,1599.255916,-5.647398351,0.889724288,6.35222E-12,6.22884E-10
C05C9.1,85.05718256,-5.262973823,0.820684373,6.38375E-12,6.22981E-10
Y102A11A.5,2088.051316,-6.490400909,1.047033488,6.51446E-12,6.32709E-10
Y54G2A.39,296.428196,-5.893437379,0.937469219,7.13669E-12,6.89857E-10
T09H2.1,1411.115011,4.106357285,0.626575685,7.8051E-12,7.5091E-10
C33A12.6,242.9988589,-3.489799122,0.531159484,8.68536E-12,8.31674E-10
C12C8.1,2561.069075,6.502886961,1.058032608,8.93742E-12,8.51811E-10
C15C8.2,51.20054975,-4.067524926,0.622893672,9.35539E-12,8.79321E-10
F36F2.2,2907.296268,4.660838414,0.72227923,9.34592E-12,8.79321E-10
