Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
ZK1055.4,43.19391665,-2.271311545,0.732094586,4.8439E-05,0.000774985
ZK1055.5,19.7352011,0.432860444,0.533197011,0.215436937,0.446400086
ZK1055.6,295.4751957,0.170969289,0.383911796,0.555710121,0.752253039
ZK1055.7,844.531466,-0.227233882,0.308513879,0.367862477,0.605654209
ZK1058.1,4492.759775,-0.231040678,0.266336063,0.308460298,0.548931971
ZK1058.2,2691.570771,-2.322534952,0.419254227,7.7161E-10,6.19736E-08
ZK1058.3,129.3241862,-0.147236111,0.277295656,0.529008833,0.732092165
ZK1058.4,4488.152579,0.494435409,0.361809155,0.081530579,0.243252921
ZK1058.5,182.7580217,0.27523146,0.395012912,0.352605628,0.592435516
ZK1058.6,749.0192098,1.158138573,0.813946181,0.016346787,0.079716995
ZK1058.9,2591.202785,-0.536377846,0.588028377,0.147381426,0.355675292
ZK1067.1,588.8505426,0.135364754,0.379334612,0.638245181,0.805824835
ZK1067.2,2205.729853,-0.083942118,0.462134934,0.791897946,0.898864969
ZK1067.3,497.8697302,0.138422168,0.395811666,0.638898303,0.806191379
ZK1067.4,253.1099685,0.349185525,0.300483717,0.159187785,0.37191548
ZK1067.5,15.38617155,0.026050796,0.479917867,0.935681423,0.972980552
ZK1067.6,1579.502471,-0.909122499,0.631895889,0.026097351,0.1115454
ZK1067.7,4173.893366,-7.408292408,1.286364732,1.38517E-10,1.36464E-08
ZK1073.1,1685.750064,-0.426030093,0.405356116,0.160209243,0.37318837
ZK1073.2,747.6344606,0.49375602,0.454125528,0.129367805,0.327165747
ZK1086.1,839.0724067,-0.140704066,0.308794433,0.577315909,0.767306803
ZK1086.2,33.83423905,-0.059773328,0.467950055,0.851664606,0.931212744
ZK1086.3,7.722563387,-0.063646033,0.498498105,0.8460889,0.928578135
ZK1098.1,1354.650585,0.10785585,0.28748225,0.653321059,0.815836267
ZK1098.10,3410.12817,-0.070100496,0.350077884,0.798155804,0.902182667
ZK1098.11,423.5552984,0.190093628,0.488374834,0.561690128,0.755756413
ZK1098.12,58.56544643,0.464677579,0.787391873,0.250268529,0.486974149
ZK1098.2,668.6431005,0.207412132,0.352331861,0.45175894,0.676049614
ZK1098.3,107.6700731,0.102941102,0.478961318,0.750129853,0.875006206
ZK1098.4,615.4204243,-0.076189747,0.34976794,0.780940371,0.892815783
ZK1098.5,530.0889034,-0.549130766,0.41210643,0.076134744,0.232923168
ZK1098.6,181.6508063,0.316826997,0.622523323,0.38285774,0.619127363
ZK1098.7,806.2795426,-0.651132426,0.633257148,0.094947972,0.269546621
ZK1098.8,812.8709981,0.307965685,0.442699018,0.329472334,0.569194641
ZK1098.9,80.33566078,-0.101890932,0.659699853,0.775637139,0.889345668
ZK112.1,3806.087468,1.087314381,0.44105765,0.001600145,0.01364079
ZK112.2,7518.770626,-0.08873341,0.455321891,0.77893637,0.891441972
ZK112.3,274.8064883,0.774309699,0.567503721,0.041176017,0.153490992
ZK112.4,64.33513984,0.667440496,0.752152,0.11085567,0.296708049
ZK112.5,47.31560053,1.089159713,0.573683181,0.006614681,0.040804137
ZK112.6,9.492967981,-0.270195109,0.599446999,0.447726449,0.672935613
ZK112.7,341.0856252,-1.565269558,0.518726143,0.000108119,0.001494577
ZK1127.1,315.2226059,0.274907383,0.562054432,0.430379001,0.659198104
ZK1127.10,6281.312369,-0.124224389,0.50662937,0.707271087,0.849800814
ZK1127.11,396.1877493,0.621517519,0.546244309,0.087223618,0.254135364
ZK1127.12,215.389363,0.483556773,0.3521952,0.082631462,0.245574857
ZK1127.13,383.9794454,0.358378263,0.404437305,0.234650093,0.468433541
ZK1127.2,252.964524,0.173566661,0.689881926,0.634282455,0.804128132
ZK1127.3,485.064774,0.70274681,0.46097724,0.036719363,0.141824295
ZK1127.4,728.7321955,0.409629426,0.434700114,0.193930411,0.418210344
ZK1127.5,601.1634953,0.614671347,0.494269382,0.07523463,0.231010424
ZK1127.6,1487.078292,0.189606108,0.407588017,0.527747596,0.731441694
ZK1127.7,528.1611983,-0.365595365,0.612253065,0.315663757,0.555718264
ZK1127.9,3344.752144,0.352086602,0.409645113,0.246268258,0.482476381
ZK1128.1,548.4826846,0.039686489,0.269362849,0.862482458,0.936242
ZK1128.2,319.2173614,0.26169114,0.214766464,0.171996798,0.388805694
ZK1128.3,169.8967872,0.079044649,0.684775321,0.826360004,0.917163756
ZK1128.4,551.1411945,0.427680821,0.332842878,0.109549041,0.294511529
ZK1128.5,639.4152356,-0.26552756,0.341346867,0.32604938,0.566416535
ZK1128.6,1354.746639,0.632625631,0.413819335,0.043305606,0.158388591
ZK1128.7,544.2544612,-0.443370496,0.404813055,0.144076384,0.350739856
ZK1128.8,698.6027793,-0.204681402,0.39394916,0.487480347,0.703542895
ZK1151.1,25023.66709,-0.523573334,0.691709271,0.182450736,0.402621766
ZK1193.1,11468.82307,-0.657935652,1.130194975,0.170349181,0.386742339
ZK1193.2,570.1294788,-3.665933743,0.835729202,9.31564E-07,2.79735E-05
ZK1193.3,166.0998988,-2.691147762,1.331857446,0.00117716,0.010696059
ZK1193.4,114.9721496,-2.625684935,1.411922425,0.001786444,0.014911137
ZK1193.5,1863.80143,-0.001686718,0.365064108,0.995213379,0.997807809
ZK121.1,515.9436402,-0.141375571,0.40483077,0.635981911,0.804582861
ZK121.2,893.5134433,-0.368221696,0.364686272,0.193523581,0.418015825
ZK1225.1,10.96919087,-3.047528702,1.710486739,0.001810806,0.015057927
ZK1225.2,5.059110084,-0.940609314,1.286347396,0.085485245,0.250946588
ZK1225.4,156.2956825,-0.36162858,0.977333985,0.388456355,0.623254484
ZK1225.5,49.81812335,-0.047005598,0.858519444,0.902131799,0.956316284
ZK1225.6,357.1353249,0.236188061,0.958791173,0.558683171,0.753971573
ZK1236.1,679.8071549,-0.012179149,0.374402524,0.965959094,0.985795257
ZK1236.2,1370.956405,0.032352579,0.385865975,0.911285433,0.96046363
ZK1236.3,1120.059195,-0.304710854,0.268070646,0.181245419,0.401187288
ZK1236.5,516.6359988,-0.417320328,0.441476549,0.189722321,0.413047757
ZK1236.6,1092.304336,-0.153556753,0.484652622,0.637298246,0.805544661
ZK1236.7,1124.747684,-0.02345973,0.326351405,0.928662706,0.969986184
ZK1236.9,43.83763652,0.082245297,0.463284144,0.796215996,0.9011615
ZK1240.1,21.68066557,-0.784185155,0.870593082,0.084971307,0.250123811
ZK1240.11,15.23766277,-0.28105614,0.699272691,0.451513852,0.675877826
ZK1240.2,131.2784619,-0.477046222,0.59413041,0.194668724,0.418936814
ZK1240.3,262.3331438,0.479702705,0.547581082,0.177737644,0.396252957
ZK1240.4,3.697256246,0.253159129,0.868749636,0.521432738,0.727155242
ZK1240.5,30.61117389,0.007092316,0.559184272,0.983374524,0.992303583
ZK1240.6,2.582216253,-0.214731738,0.771271552,0.570810106,0.762508193
ZK1240.8,9.455063497,-0.644892517,0.88502494,0.143873921,0.350509751
ZK1240.9,53.31633429,0.070847127,0.487510846,0.827517286,0.917836958
ZK1248.1,173.5293403,0.194701024,0.797413207,0.609336572,0.787509017
ZK1248.10,1160.949823,-0.004388963,0.341277494,0.987017209,0.994776857
ZK1248.11,367.110977,0.424967531,0.371199449,0.139095559,0.342945841
ZK1248.13,698.6006569,0.577474704,0.348317508,0.038124906,0.14564661
ZK1248.14,1232.551096,-0.052670174,0.211768521,0.781663886,0.893100558
ZK1248.15,441.7072203,0.560791254,0.464561647,0.091265037,0.262393541
ZK1248.16,9699.538705,0.444178515,0.483072795,0.184009047,0.404714554
ZK1248.17,431.226794,0.337978368,0.777791725,0.386112723,0.621544611
ZK1248.19,165.8259173,0.636299293,0.483368429,0.063144335,0.205137031
ZK1248.2,76.74208835,0.389487469,0.515282826,0.255125087,0.491877626
ZK1248.20,38.42089176,0.081276118,0.703970971,0.822834447,0.915537226
ZK1248.3,1349.295511,-0.278687392,0.323642688,0.285542022,0.525301711
ZK1248.4,198.6911431,0.185790755,0.732494569,0.617047292,0.792570892
ZK1248.5,381.9442757,0.040372111,0.760224659,0.913031965,0.9615144
ZK1248.6,3544.04712,0.428897064,0.923121736,0.307796729,0.548092492
ZK1248.7,75.32502305,-0.306816515,0.73646153,0.420665904,0.652061496
ZK1251.1,344.1385233,-0.253246482,0.915619557,0.527332277,0.73104937
ZK1251.11,7.656088994,-0.124105359,0.930515487,0.75209375,0.875501915
ZK1251.2,193.1976054,-0.306671277,0.786812542,0.429783685,0.658862031
ZK1251.3,72.0897506,-0.440281255,1.044588061,0.313730983,0.553924775
ZK1251.6,17549.15197,3.98567778,1.627230294,0.000303647,0.003542966
ZK1251.7,6.398774987,-0.35511528,0.864722889,0.37959494,0.616545051
ZK1251.8,136.1377472,0.061556583,0.396471616,0.834625223,0.921898604
ZK1251.9,1846.175856,0.145260082,0.450263598,0.644900466,0.810436298
ZK1290.1,291.5970446,-0.574541418,1.185497484,0.223233435,0.455927846
ZK1290.10,79.32228431,-0.089555154,0.521041297,0.788303027,0.896518182
ZK1290.11,264.1166995,-0.333806184,0.993983282,0.42435658,0.654759467
