Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
K11G9.1,199.6334271,3.966268202,0.727550653,5.27538E-10,4.55918E-08
F02C12.5,2106.673517,4.421931672,0.828827851,5.39409E-10,4.60326E-08
F46B3.17,104.8388669,5.420867128,1.02374136,5.39221E-10,4.60326E-08
K10B2.2,544.1116269,-3.143513355,0.546511934,5.37346E-10,4.60326E-08
Y70C5A.3,156.9182066,-3.994268027,0.735504331,5.65534E-10,4.8061E-08
F02D10.1,19090.30242,8.811961135,1.600098868,5.96541E-10,5.04857E-08
C06G3.3,2709.784784,4.652264127,0.881998935,6.31845E-10,5.32525E-08
K02B12.4,67.93329608,-3.355557411,0.598349555,7.76121E-10,6.51431E-08
T05B4.3,1451.084693,-5.979062781,1.134914192,8.24956E-10,6.89582E-08
F35C8.5,746.0807934,-2.701149641,0.465698954,9.15793E-10,7.62389E-08
B0334.2,721.4919568,3.09540225,0.545409838,9.26132E-10,7.67459E-08
F36G9.8,32.70777642,3.890485209,0.723686185,9.29409E-10,7.67459E-08
T19H12.10,630.9315128,4.298993706,0.817281971,9.41853E-10,7.74598E-08
F56A4.9,378.9672587,4.49565256,0.86164168,9.7414E-10,7.97934E-08
F13H6.5,354.6135906,2.583621364,0.445648641,1.09266E-09,8.91433E-08
F54F3.1,2560.632169,-2.560877158,0.441472844,1.10189E-09,8.95384E-08
F16D3.6,177.6057375,3.636897366,0.669572696,1.13365E-09,9.14937E-08
Y66H1B.4,1717.663619,-1.632155363,0.283858667,1.13492E-09,9.14937E-08
H02K04.2,47.82561894,4.537346147,0.877582169,1.22248E-09,9.8164E-08
F36H9.6,112.5818994,5.290464497,1.030359666,1.24402E-09,9.95022E-08
R03A10.2,1689.540409,2.963745886,0.523286972,1.28641E-09,1.02491E-07
C45H4.13,56.68362062,4.377188341,0.84420942,1.30748E-09,1.03764E-07
W07B8.1,276.5686004,-3.280213015,0.593070931,1.41971E-09,1.12234E-07
C08D8.1,187.6015781,4.438453937,0.861426406,1.46979E-09,1.15591E-07
F18G5.4,362.3971138,2.13128584,0.367610977,1.47351E-09,1.15591E-07
W01A11.7,885.2091298,3.903580529,0.739598759,1.56449E-09,1.22258E-07
F15D3.2,547.0825973,7.839324459,1.482290331,1.72908E-09,1.34605E-07
F10D2.6,225.6069347,4.380391963,0.853554559,1.74312E-09,1.35181E-07
C06E4.7,194.8496136,2.540292057,0.443892714,1.7694E-09,1.36699E-07
W09C5.4,159.2604475,-3.530992971,0.655947666,1.86703E-09,1.43698E-07
T28F2.6,9595.150011,8.259371802,1.565550648,1.9286E-09,1.47879E-07
